key,nl,en,es,zh,status,source,notes
admin.courierAnalytics.duration.hoursMinutes,{hours}u {minutes}m,{hours}h {minutes}m,{hours}h {minutes}min,{hours}小时 {minutes}分,READY_FOR_SHEET,composables/courier-analytics-mappers.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Localise formatHandlingDuration hour+minute units
admin.courierAnalytics.duration.minutesSeconds,{minutes}m {seconds}s,{minutes}m {seconds}s,{minutes}min {seconds}s,{minutes}分 {seconds}秒,READY_FOR_SHEET,composables/courier-analytics-mappers.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Localise formatHandlingDuration minute+second units
admin.courierAnalytics.duration.secondsOnly,{seconds}s,{seconds}s,{seconds}s,{seconds}秒,READY_FOR_SHEET,composables/courier-analytics-mappers.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Localise formatHandlingDuration seconds-only unit
admin.operationsFeed.lowStock,{vaccineName} heeft nog {quantityRemaining} dosissen (drempel: {stockThreshold}),{vaccineName} has {quantityRemaining} doses left (threshold: {stockThreshold}),{vaccineName} tiene {quantityRemaining} dosis restantes (umbral: {stockThreshold}),{vaccineName} 剩余 {quantityRemaining} 剂（阈值：{stockThreshold}）,READY_FOR_SHEET,utils/operations-feed-display.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 35D3 — structured LOW_STOCK feed detail
admin.operationsFeed.newOrder,Bestelling {orderId} ({quantity} dosissen),Order {orderId} ({quantity} doses),Pedido {orderId} ({quantity} dosis),订单 {orderId}（{quantity} 剂）,READY_FOR_SHEET,utils/operations-feed-display.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 35D3 — structured NEW_ORDER feed detail (no event.message)
admin.operationsFeed.orderStatusChanged,Bestelling {orderId}: {status},Order {orderId}: {status},Pedido {orderId}: {status},订单 {orderId}：{status},READY_FOR_SHEET,utils/operations-feed-display.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 35D3 — structured ORDER_STATUS_CHANGED feed detail
admin.operationsFeed.unknown,Operationele update,Operational update,Actualización operativa,运营更新,READY_FOR_SHEET,utils/operations-feed-display.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 35D3 — generic feed fallback
app.description,"Platform voor vaccinbestellingen, voorraad en bezorgroutes.","Platform for vaccine orders, stock and delivery routes.","Plataforma de pedidos de vacunas, stock y rutas de entrega.",疫苗订购、库存与配送路线平台。,READY_FOR_SHEET,i18n/index.ts syncDocumentLang,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 35D3 — localised document meta description
app.shortName,Vaccin,Vaccin,Vaccin,Vaccin,READY_FOR_SHEET,vite.config.ts manifest,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 35D3 — PWA short name (brand abbreviation)
arrival.arrived,Aangekomen,Arrived,Llegada registrada,已到达,READY_FOR_SHEET,phase28c-keys.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C key file; ensure Sheet + catalogs include it
arrival.arrivedAt,Aangekomen om {time},Arrived at {time},Llegada a las {time},到达时间 {time},READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs; preserve {time}
arrival.cancelPending,Annuleer openstaande aankomst,Cancel pending arrival,Cancelar llegada pendiente,取消待同步到达,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
arrival.cancelPendingConfirm,Bevestig annuleren openstaande aankomst,Confirm cancel pending arrival,Confirmar cancelación de llegada pendiente,确认取消待同步到达,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
arrival.conflict,Aankomstconflict,Arrival conflict,Conflicto de llegada,到达冲突,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
arrival.discardPending,Openstaande actie verwerpen,Discard pending action,Descartar acción pendiente,丢弃待处理操作,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
arrival.markArrived,Markeer aangekomen,Mark arrived,Marcar llegada,标记已到达,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — used in UI but absent from locale catalogs
arrival.pending,Aankomst in behandeling,Arrival pending,Llegada pendiente,到达待同步,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
arrival.recorded,Aankomst geregistreerd,Arrival recorded,Llegada registrada,到达已记录,READY_FOR_SHEET,phase28c-keys.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C key file
arrival.retrySync,Synchronisatie opnieuw proberen,Retry synchronisation,Reintentar sincronización,重试同步,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
arrival.routeChangedOffline,Route is gewijzigd terwijl je offline was,Route changed while offline,La ruta cambió mientras estabas sin conexión,离线期间路线已更改,READY_FOR_SHEET,phase28c-keys.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C key file
arrival.stopAlreadyDelivered,Stop is al afgeleverd,Stop already delivered,La parada ya fue entregada,该站点已送达,READY_FOR_SHEET,phase28c-keys.ts,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C key file
arrival.synchronising,Aankomst wordt gesynchroniseerd…,Synchronising arrival…,Sincronizando llegada…,正在同步到达…,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
arrival.unableToRecord,Aankomst kon niet worden geregistreerd,Unable to record arrival,No se pudo registrar la llegada,无法记录到达,READY_FOR_SHEET,views/bezorger/ViewBezorgerTodayRoute.vue,IMPLEMENTED in runtime catalogs — copy to Sheet then npm run export:i18n. Phase 28C — missing from catalogs
